timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1611225521927,0,38,8.349609375E-6,1,63,46,224267,39370,16095,16745534,7482,4186,7537,2553,Tag0,unknown
1611225581935,0,-261,-5.73486328125E-5,37,97,41,14366,14543,27846,12784,3228,5668,2673,987,Tag0,unknown
1611225641985,0,40,8.7890625E-6,61,80,40,47367,79090,486,7327,4403,6819,3816,3665,Tag0,unknown
1611225701986,0,80,1.7578125E-5,75,69,39,83198,14155,8475,4122,8938,5399,4969,2067,Tag0,unknown
1611225762003,0,57,1.2524414062500001E-5,66,34,35,19062,9612,7493,2493,10368,9813,6943,4204,Tag0,unknown
1611225822007,0,59,1.29638671875E-5,61,57,42,75960,8487,3341,3755,3101,4030,2903,4715,Tag0,unknown
1611225882013,0,44,9.66796875E-6,38,84,59,16769123,16768538,16759079,4533,1268,3932,7250,2204,Tag0,unknown
1611225942023,0,-151,-3.31787109375E-5,38,41,39,16751065,32490,11635,2767,4940,5680,3700,1863,Tag0,unknown
1611226002031,0,37,8.1298828125E-6,60,83,39,1170,10008,7424,14854,9784,3736,1643,741,Tag0,unknown
1611226062040,0,107,2.35107421875E-5,50,83,39,46415,11683,5122,25291,6714,4713,3060,4148,Tag0,unknown
1611226122053,0,65,1.42822265625E-5,78,44,60,16766074,11771,7172,10583,9262,8359,5095,2079,Tag0,unknown
1611226182060,0,-112,-2.4609375E-5,41,37,51,571031,35618,28296,32271,5432,3622,8099,1929,Tag0,unknown
1611226242067,0,17,3.7353515625000003E-6,27,26,38,184091,16748833,9146,9269,3103,2967,1465,527,Tag0,unknown
1611226302067,0,64,1.40625E-5,77,38,43,10705,17590,11054,4740,8287,9874,8532,2264,Tag0,unknown
