,timestampNs,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,heartRate
0,1611225521927000000,1,63,46,224267,39370,16095,16745534,7482,4186,7537,2553,79
1,1611225581935000000,37,97,41,14366,14543,27846,12784,3228,5668,2673,987,84
2,1611225641985000000,61,80,40,47367,79090,486,7327,4403,6819,3816,3665,88
3,1611225701986000000,75,69,39,83198,14155,8475,4122,8938,5399,4969,2067,86
4,1611225822007000000,61,57,42,75960,8487,3341,3755,3101,4030,2903,4715,88
5,1611225882013000000,38,84,59,16769123,16768538,16759079,4533,1268,3932,7250,2204,90
6,1611225942023000000,38,41,39,16751065,32490,11635,2767,4940,5680,3700,1863,89
7,1611226002031000000,60,83,39,1170,10008,7424,14854,9784,3736,1643,741,87
8,1611226062040000000,50,83,39,46415,11683,5122,25291,6714,4713,3060,4148,90
9,1611226122053000000,78,44,60,16766074,11771,7172,10583,9262,8359,5095,2079,87
10,1611226182060000000,41,37,51,571031,35618,28296,32271,5432,3622,8099,1929,92
11,1611226242067000000,27,26,38,184091,16748833,9146,9269,3103,2967,1465,527,99
12,1611226302067000000,77,38,43,10705,17590,11054,4740,8287,9874,8532,2264,84
